Registro de prueba de intermperismo
Inicio de prueba: 29/09/16, 18:56:27
apas por ciclo: 
clos programados: 
Parametros por etapa:
tapa 
Parametros: Humedad: 50, Temperatura: 20, Aspersion: 0, Luz: 1, Duración: 16
Fecha, Hora, Humedad, Temperatura, Aspersion, Luz, Uv, Humidificador, IR, Luces
29/09/16, 19:16:12, 61.00, 20.70, 2579, 0.12, 0, 0, 0, 1
29/09/16, 19:36:12, 52.80, 23.50, 2500,  0.06, 0, 0, 0, 1
29/09/16, 19:56:12, 52.10, 23.60, 2467, 0.14, 0, 0, 0, 1
29/09/16, 20:16:12, 52.40, 23.50, 2413,  0.04, 0, 0, 0, 1
29/09/16, 20:36:12, 52.40, 23.40, 2354, 0.12, 0, 0, 0, 1
29/09/16, 20:56:12, 52.60, 23.30, 2293,  0.06, 0, 0, 0, 1
29/09/16, 21:16:12, 52.60, 23.30, 2256,  0.03, 0, 0, 0, 1
29/09/16, 21:36:12, 52.50, 23.30, 2219,  0.01, 0, 0, 0, 1
29/09/16, 21:56:12, 52.80, 23.10, 2197,  0.01, 0, 0, 0, 1
29/09/16, 22:16:12, 52.70, 23.00, 2178, 0.00, 0, 0, 0, 1
29/09/16, 22:36:12, 52.90, 23.00, 2151,  0.09, 0, 0, 0, 1
29/09/16, 22:56:12, 52.80, 23.00, 2120,  0.06, 0, 0, 0, 1
29/09/16, 23:16:12, 52.80, 22.90, 2100,  0.06, 0, 0, 0, 1
29/09/16, 23:36:12, 52.90, 22.90, 2080, 0.00, 0, 0, 0, 1
29/09/16, 23:56:12, 53.00, 22.80, 2059, 0.15, 0, 0, 0, 1
30/09/16, 00:16:12, 53.10, 22.70, 2039, 0.15, 0, 0, 0, 1
30/09/16, 00:36:12, 52.90, 22.80, 2021,  0.04, 0, 0, 0, 1
30/09/16, 00:56:12, 53.00, 22.70, 2006,  0.06, 0, 0, 0, 1
30/09/16, 01:16:12, 53.00, 22.70, 1995,  0.06, 0, 0, 0, 1
30/09/16, 01:36:12, 53.10, 22.50, 1983,  0.04, 0, 0, 0, 1
30/09/16, 01:56:12, 53.10, 22.50, 1970, 0.00, 0, 0, 0, 1
30/09/16, 02:16:12, 53.00, 22.50, 1959,  0.07, 0, 0, 0, 1
30/09/16, 02:36:12, 53.10, 22.50, 1945, 0.00, 0, 0, 0, 1
30/09/16, 02:56:12, 53.30, 22.40, 1934, 0.14, 0, 0, 0, 1
30/09/16, 03:16:12, 53.20, 22.40, 1925,  0.07, 0, 0, 0, 1
30/09/16, 03:36:12, 53.10, 22.40, 1916,  0.03, 0, 0, 0, 1
30/09/16, 03:56:12, 53.10, 22.40, 1906,  0.01, 0, 0, 0, 1
30/09/16, 04:16:12, 53.30, 22.30, 1899,  0.03, 0, 0, 0, 1
30/09/16, 04:36:12, 53.50, 22.30, 1890,  0.07, 0, 0, 0, 1
30/09/16, 04:56:12, 53.50, 22.10, 1883,  0.06, 0, 0, 0, 1
30/09/16, 05:16:12, 53.40, 22.20, 1875,  0.06, 0, 0, 0, 1
30/09/16, 05:36:12, 53.40, 22.20, 1864,  0.07, 0, 0, 0, 1
30/09/16, 05:56:12, 53.40, 22.20, 1858, 0.00, 0, 0, 0, 1
30/09/16, 06:16:12, 53.50, 22.00, 1852,  0.09, 0, 0, 0, 1
30/09/16, 06:36:12, 53.50, 22.00, 1847,  0.04, 0, 0, 0, 1
30/09/16, 06:56:12, 53.40, 22.10, 1841, 0.00, 0, 0, 0, 1
30/09/16, 07:16:12, 53.50, 22.00, 1837, 0.00, 0, 0, 0, 1
30/09/16, 07:36:12, 53.50, 22.00, 1832,  0.03, 0, 0, 0, 1
30/09/16, 07:56:12, 53.60, 21.90, 1827,  0.03, 0, 0, 0, 1
30/09/16, 08:16:12, 53.50, 21.90, 1822,  0.01, 0, 0, 0, 1
30/09/16, 08:36:12, 53.50, 21.90, 1844, 0.14, 0, 0, 0, 1
30/09/16, 08:56:12, 53.50, 21.90, 1839,  0.04, 0, 0, 0, 1
30/09/16, 09:16:12, 53.40, 22.10, 1835, 0.00, 0, 0, 0, 1
30/09/16, 09:36:12, 52.60, 22.40, 1831,  0.04, 0, 0, 0, 1
30/09/16, 09:56:12, 52.60, 22.40, 1824,  0.06, 0, 0, 0, 1
30/09/16, 10:16:12, 52.40, 22.50, 1820, 0.14, 0, 0, 0, 1
30/09/16, 10:36:12, 51.90, 22.60, 1814, 0.00, 0, 0, 0, 1
30/09/16, 10:56:12, 51.60, 22.70, 64942,  0.06, 0, 0, 0, 0
