Registro de prueba de intermperismo
Inicio de prueba: 13/01/00, 16:00:57
tapas por ciclo: 
amados: 
Parametros por etapa:
Fecha, Hora, Humedad, Temperatura, Aspersion, Luz, Uv, Humidificador, IR, Luces
13/01/00, 16:20:42, 64.40, 23.00, 96,  0.04, 0, 0, 0, 0
13/01/00, 16:40:42, 64.40, 23.20, 91,  0.06, 0, 0, 0, 0
13/01/00, 17:00:42, 65.70, 23.50, 99,  0.03, 0, 0, 0, 0
13/01/00, 17:20:42, 66.50, 23.70, 100,  0.04, 0, 0, 0, 0
13/01/00, 17:40:42, 67.80, 23.70, 96,  0.04, 0, 0, 0, 0
13/01/00, 18:00:42, 68.80, 23.70, 93,  0.06, 0, 0, 0, 0
13/01/00, 18:20:42, 69.60, 23.70, 96,  0.04, 0, 0, 0, 0
13/01/00, 18:40:42, 70.10, 23.80, 96,  0.04, 0, 0, 0, 0
13/01/00, 19:00:42, 70.20, 23.80, 93,  0.04, 0, 0, 0, 0
13/01/00, 19:20:42, 69.50, 23.80, 98,  0.04, 0, 0, 0, 0
13/01/00, 19:40:42, 68.30, 23.80, 304,  0.03, 0, 0, 0, 0
13/01/00, 20:00:42, 64.60, 25.30, 267,  0.04, 0, 0, 0, 0
13/01/00, 20:20:42, 58.90, 28.00, 288,  0.03, 0, 0, 0, 0
13/01/00, 20:40:42, 53.90, 29.70, 290,  0.04, 0, 0, 0, 0
13/01/00, 21:00:42, 47.60, 30.60, 269,  0.04, 0, 0, 0, 0
13/01/00, 21:20:42, 41.80, 31.20, 293,  0.03, 1, 0, 0, 0
13/01/00, 21:40:42, 36.30, 31.50, 100,  0.04, 1, 0, 0, 0
13/01/00, 22:00:42, 37.90, 30.00, 94,  0.04, 1, 0, 0, 0
13/01/00, 22:20:42, 40.20, 27.50, 97,  0.04, 1, 0, 0, 0
13/01/00, 22:40:42, 41.90, 25.90, 99,  0.04, 1, 0, 0, 0
13/01/00, 23:00:42, 43.80, 25.00, 97,  0.04, 1, 0, 0, 0
13/01/00, 23:20:42, 44.80, 24.30, 91,  0.06, 1, 0, 0, 0
13/01/00, 23:40:42, 45.40, 23.90, 96,  0.03, 1, 0, 0, 0
14/01/00, 00:00:42, 45.90, 23.60, 96,  0.04, 1, 0, 0, 0
14/01/00, 00:20:42, 46.40, 23.50, 93,  0.03, 1, 0, 0, 0
14/01/00, 00:40:42, 46.60, 23.30, 97,  0.04, 1, 0, 0, 0
14/01/00, 01:00:42, 46.80, 23.20, 95,  0.04, 1, 0, 0, 0
14/01/00, 01:20:42, 46.90, 23.00, 90,  0.04, 1, 0, 0, 0
14/01/00, 01:40:42, 47.00, 23.00, 322,  0.04, 1, 0, 0, 0
14/01/00, 02:00:42, 43.80, 24.80, 317,  0.03, 1, 0, 0, 0
14/01/00, 02:20:42, 38.30, 27.60, 289,  0.03, 1, 0, 0, 0
14/01/00, 02:40:42, 35.30, 29.40, 323,  0.03, 1, 0, 0, 0
14/01/00, 03:00:42, 33.50, 30.30, 307,  0.04, 1, 0, 0, 0
14/01/00, 03:20:42, 32.00, 30.90, 328,  0.04, 1, 0, 0, 0
14/01/00, 03:40:42, 30.60, 31.20, 102,  0.04, 1, 0, 0, 0
14/01/00, 04:00:42, 33.00, 29.50, 93,  0.06, 1, 0, 0, 0
14/01/00, 04:20:42, 36.70, 26.80, 93,  0.04, 1, 0, 0, 0
14/01/00, 04:40:42, 39.70, 25.10, 98,  0.03, 1, 0, 0, 0
14/01/00, 05:00:42, 41.90, 24.10, 97,  0.03, 1, 0, 0, 0
14/01/00, 05:20:42, 43.40, 23.40, 92,  0.03, 1, 0, 0, 0
14/01/00, 05:40:42, 44.20, 23.00, 98,  0.03, 1, 0, 0, 0
14/01/00, 06:00:42, 45.20, 22.70, 96,  0.04, 1, 0, 0, 0
14/01/00, 06:20:42, 45.70, 22.50, 92,  0.06, 1, 0, 0, 0
14/01/00, 06:40:42, 46.10, 22.40, 98,  0.03, 1, 0, 0, 0
14/01/00, 07:00:42, 46.40, 22.20, 92,  0.04, 1, 0, 0, 0
14/01/00, 07:20:42, 46.70, 22.10, 95,  0.04, 1, 0, 0, 0
14/01/00, 07:40:42, 46.80, 22.00, 327,  0.06, 1, 0, 0, 0
14/01/00, 08:00:42, 43.70, 23.90, 310,  0.04, 1, 0, 0, 0
14/01/00, 08:20:42, 37.80, 26.70, 315,  0.04, 1, 0, 0, 0
14/01/00, 08:40:42, 35.00, 28.50, 334,  0.04, 1, 0, 0, 0
14/01/00, 09:00:42, 33.40, 29.40, 300,  0.06, 1, 0, 0, 0
14/01/00, 09:20:42, 32.00, 29.90, 334,  0.03, 1, 0, 0, 0
14/01/00, 09:40:42, 31.00, 30.20, 102,  0.04, 1, 0, 0, 0
14/01/00, 10:00:42, 33.20, 28.50, 91,  0.04, 1, 0, 0, 0
14/01/00, 10:20:42, 37.00, 25.80, 98,  0.04, 1, 0, 0, 0
14/01/00, 10:40:42, 39.80, 24.20, 97,  0.04, 1, 0, 0, 0
14/01/00, 11:00:42, 41.70, 23.40, 94,  0.04, 1, 0, 0, 0
14/01/00, 11:20:42, 42.90, 22.80, 97,  0.04, 1, 0, 0, 0
14/01/00, 11:40:42, 43.80, 22.50, 96,  0.01, 1, 0, 0, 0
14/01/00, 12:00:42, 44.10, 22.30, 93,  0.07, 1, 0, 0, 0
14/01/00, 12:20:42, 44.40, 22.20, 96,  0.04, 1, 0, 0, 0
14/01/00, 12:40:42, 44.70, 22.20, 97,  0.06, 1, 0, 0, 0
14/01/00, 13:00:42, 44.90, 22.20, 91,  0.04, 1, 0, 0, 0
14/01/00, 13:20:42, 45.00, 22.30, 97,  0.01, 1, 0, 0, 0
14/01/00, 13:40:42, 44.90, 22.30, 328,  0.04, 1, 0, 0, 0
14/01/00, 14:00:42, 41.30, 24.40, 308,  0.04, 1, 0, 0, 0
14/01/00, 14:20:42, 35.90, 27.50, 333,  0.04, 1, 0, 0, 0
14/01/00, 14:40:42, 32.80, 29.50, 326,  0.04, 1, 0, 0, 0
14/01/00, 15:00:42, 30.90, 30.60, 315,  0.03, 1, 0, 0, 0
14/01/00, 15:20:42, 29.80, 31.40, 338,  0.04, 1, 0, 0, 0
14/01/00, 15:40:42, 28.30, 31.90, 104,  0.04, 1, 0, 0, 0
14/01/00, 16:00:42, 30.50, 30.20, 92,  0.06, 1, 0, 0, 0
14/01/00, 16:20:42, 34.10, 27.40, 99,  0.04, 1, 0, 0, 0
14/01/00, 16:40:42, 36.40, 25.80, 96,  0.06, 1, 0, 0, 0
14/01/00, 17:00:42, 38.40, 24.90, 91,  0.04, 1, 0, 0, 0
14/01/00, 17:20:42, 39.50, 24.30, 97,  0.04, 1, 0, 0, 0
14/01/00, 17:40:42, 40.40, 24.00, 95,  0.03, 1, 0, 0, 0
14/01/00, 18:00:42, 41.20, 23.70, 93,  0.06, 1, 0, 0, 0
14/01/00, 18:20:42, 41.70, 23.60, 96,  0.07, 1, 0, 0, 0
14/01/00, 18:40:42, 42.20, 23.50, 97,  0.04, 1, 0, 0, 0
14/01/00, 19:00:42, 42.50, 23.40, 89,  0.06, 1, 0, 0, 0
14/01/00, 19:20:42, 43.00, 23.40, 96,  0.04, 1, 0, 0, 0
14/01/00, 19:40:42, 43.90, 23.40, 332,  0.03, 1, 0, 0, 0
14/01/00, 20:00:42, 41.10, 25.20, 304,  0.04, 1, 0, 0, 0
14/01/00, 20:20:42, 36.80, 28.20, 326,  0.03, 1, 0, 0, 0
14/01/00, 20:40:42, 34.40, 30.00, 305,  0.03, 1, 0, 0, 0
14/01/00, 21:00:42, 32.70, 30.90, 305,  0.03, 1, 0, 0, 0
14/01/00, 21:20:42, 32.20, 31.40, 325,  0.06, 1, 0, 0, 0
14/01/00, 21:40:42, 31.10, 31.80, 103,  0.04, 1, 0, 0, 0
14/01/00, 22:00:42, 33.80, 30.00, 91,  0.03, 1, 0, 0, 0
14/01/00, 22:20:42, 37.90, 27.30, 97,  0.04, 1, 0, 0, 0
